domain,tld,email_type,spon_registrar,keyword,httpcode,locate_cmp,web_judge_result
kj311.com,1,0,0,4,2,1,no
ccbmys.cc,3,5,1,1,3,1,no
atpuco.com,1,12,4,1,4,1,no
guomob.com,1,12,2,2,2,2,yes
sxjinzheng.com,1,12,6,4,2,3,no
ccbanz.cc,3,5,1,1,4,3,no
cntmi.com,1,12,12,1,4,6,yes
567430.com,1,0,0,4,2,1,no
ccsomw.cc,3,5,1,1,3,1,no
117701.com,1,12,11,2,2,2,no
95533gjc.cc,3,1,8,1,4,4,no
yuchenw.top,13,0,0,1,3,5,no
nodcx.cc,3,5,1,1,3,1,no
0631fd.com,1,1,12,1,4,2,yes
96bao.com,1,0,3,1,3,1,yes
555789t.com,1,0,0,2,2,1,no
gyxk95533x.com,1,0,0,1,3,2,no
07179.com,1,0,0,4,3,1,no
wangsu123.cn,2,1,12,1,1,1,yes
cuasnd-laccp.com,1,0,0,1,3,1,no
ccbdcn.cc,3,5,1,1,3,1,no
95588mjf.cc,3,2,8,1,1,4,no
l0086nno.com,1,2,10,1,3,4,no
icbcqlo.com,1,1,12,1,3,4,no
hnwb.cc,3,1,2,2,2,5,no
zyslzkq.com,1,0,12,2,2,1,no
czlyk.com,1,1,12,1,3,4,no
ajijfisd.pw,11,0,0,1,4,7,no
avmcc.com,1,0,0,2,2,1,no
ppmj315.com,1,9,6,2,3,2,yes
rumeifashion.com,1,12,2,2,1,1,no
95588-jkn.com,1,0,0,1,3,1,no
bjytnm.com,1,0,0,1,3,1,yes
95533cbk.cc,3,0,0,1,3,1,no
cs-ds.net,4,0,9,2,2,1,yes
visa160.com,1,5,1,2,1,1,yes
443456.com,1,0,0,2,2,1,no
baomeijiaju.com.cn,2,3,12,1,4,1,no
ciia.com.cn,2,12,12,2,2,1,yes
zesca.cc,3,3,7,1,3,5,no
yigouw018.com,1,0,0,1,3,1,no
btbus.net,4,1,6,1,3,2,no
xingtravel.com.cn,2,11,12,1,1,1,yes
urasdv.com,1,12,12,1,2,1,no
bcbshr.com,1,1,6,1,3,5,no
lequ.com,1,12,2,2,2,4,yes
cbblze.cc,3,0,0,1,3,1,no
mir2tj.com,1,0,9,2,2,1,yes
ccbzbx.cc,3,5,1,1,3,1,no
l0086qxm.com,1,0,0,1,3,7,no
10086hua.pw,11,0,0,1,4,7,no
by39.cc,3,0,0,1,3,4,no
ggcjz.pw,11,0,0,1,4,7,no
yima006.com,1,0,0,1,3,1,no
psvjt.pw,11,0,0,1,4,7,no
shandji86.com,1,12,11,1,3,4,no
324889.com,1,1,6,1,4,6,no
95533cbo.cc,3,12,8,1,3,4,no
cbbmt.cc,3,5,1,1,3,1,no
357.com,1,5,1,4,2,1,yes
ceo55555.com,1,0,0,1,2,1,no
xpcalendar.com,1,2,12,4,3,6,no
hongjiduct.com,1,2,12,2,4,2,yes
sqtyfw.com,1,12,2,1,2,3,yes
xm-gbcm.cn,2,1,12,2,2,1,no
icbxk.cc,3,12,1,1,3,1,no
329448.com,1,0,0,2,2,1,no
dailycashfive.com,1,0,0,1,3,1,no
5bo.info,6,12,12,2,4,1,no
yofotoyl.com,1,0,0,1,3,1,no
10086apkg.cc,3,1,2,1,3,4,no
sadfaegare.tk,14,0,0,1,2,1,no
dhghu.com,1,0,0,1,1,1,no
868223.com,1,0,0,1,4,1,no
cimxaw.cc,3,5,1,1,3,1,no
lehmanbrown.com,1,12,12,2,2,1,yes
ierebcrt.cc,3,1,6,1,3,2,no
lb55.cc,3,0,0,1,4,1,no
ccbcnat.cc,3,8,2,1,3,5,no
ccikac.com,1,1,2,1,3,4,no
abchlua.cc,3,2,8,1,3,4,no
gsjfkm.com,1,0,0,1,3,1,no
cbizko.cc,3,2,8,1,3,4,no
cbansy.cc,3,2,12,1,3,5,no
cbeas.cc,3,3,7,1,3,5,no
95533sgc.cc,3,1,8,1,4,4,no
china-ntm.com,1,12,2,2,2,6,yes
hnyjdw.com,1,12,2,2,4,2,no
ppmwt.com,1,0,0,1,3,1,no
11169.net,4,0,0,1,4,1,yes
crashsite.com.ar,16,0,0,2,4,1,no
icduv.com,1,0,0,1,4,1,no
icdckn.com,1,2,8,1,3,4,no
95588yyj.cc,3,2,2,1,4,4,no
cqbjjz.com,1,12,12,4,4,2,yes
kuwowang68.com,1,0,0,2,3,1,no
chinaseedtrays.com,1,0,0,1,2,5,no
oqdgv.cc,3,5,1,1,3,1,no
3614.com,1,0,0,4,2,1,no
icbcso.com,1,0,0,1,4,1,no
biyibi73.com,1,0,0,1,3,7,no
